
,Drug_ID,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
328,2347180,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TEVA-TRAMADOL/ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
361,2383209,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,ACT TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
362,2387123,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,IPG-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
367,2388197,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,RAN-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
368,2388294,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMAPHEN-ODAN,3.75,13,24,91,182,390,CANCELLED POST MARKET
369,2388308,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,JAMP-ACET-TRAMADOL,3.75,13,24,91,182,390,MARKETED
370,2388324,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MAR-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
375,2389274,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PAT-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
376,2389800,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MINT-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
377,2391554,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PRIVA-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
397,2401657,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PMS-TRAMADOL-ACET,3.75,13,24,91,182,390,MARKETED
398,2407981,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,LUPIN-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
409,2417502,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL-ACET,3.75,13,24,91,182,390,MARKETED
410,2424959,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,RIVA-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
411,2425599,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MYLAN-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
413,2426803,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
414,2429969,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL / ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
415,2439050,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,AURO-TRAMADOL/ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
437,2469650,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,NRA-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
446,2477092,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,AG-ACET-TRAMADOL,3.75,13,24,91,182,390,APPROVED
447,2477122,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,BIO-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
246,2286459,NA,TRAMADOL HYDROCHLORIDE 400 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,40,1,2,7,14,30,MARKETED
329,2349469,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,ULTRAM,5,10,18,70,140,300,MARKETED
412,2426153,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,TRAMADOL,5,10,18,70,140,300,MARKETED
450,2479672,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,AURO-TRAMADOL,5,10,18,70,140,300,MARKETED
451,2480859,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,MAR-TRAMADOL,5,10,18,70,140,300,APPROVED
337,2360322,NA,TRAMADOL HYDROCHLORIDE 75 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,7.5,7,12,49,98,210,MARKETED
=======
,Drug_ID,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
316,2341212,NA,BUPRENORPHINE 10 MCG,PATCH,TRANSDERMAL,BUTRANS 10,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
421,2450771,NA,BUPRENORPHINE 15 MCG,PATCH,TRANSDERMAL,BUTRANS 15,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
317,2341220,NA,BUPRENORPHINE 20 MCG,PATCH,TRANSDERMAL,BUTRANS 20,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
315,2341174,NA,BUPRENORPHINE 5 MCG,PATCH,TRANSDERMAL,BUTRANS 5,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
146,2163748,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 100 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 100MG CONTROLLED RELEASE TAB,15,3,6,21,42,90,MARKETED
147,2163780,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 150 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 150MG CONTROLLED RELEASE TAB,22.5,2,4,14,28,60,MARKETED
148,2163799,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 200 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 200MG CONTROLLED RELEASE TAB,30,2,3,14,28,60,MARKETED
167,2230302,NA,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate) 50 MG",TABLET (EXTENDED-RELEASE),ORAL,CODEINE CONTIN 50MG CONTROLLED RELEASE TAB,7.5,7,12,49,98,210,MARKETED
12,180041,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,ACETYLSALICYLIC ACID CAFFEINE & 8MG COD PHOS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
416,2439220,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,TAMICODE TABLETS,1.2,42,75,294,588,1260,APPROVED
234,2258978,NA,CODEINE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF CAPLETS,1.2,42,75,294,588,1260,APPROVED
9,176192,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,FIORINAL-C 1/4,2.25,22,40,154,308,660,APPROVED
16,293504,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ATASOL 15,2.25,22,40,154,308,660,MARKETED
21,440809,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ROUNOX AVEC CODEINE 15TAB,2.25,22,40,154,308,660,CANCELLED POST MARKET
28,593435,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-CODEINE,2.25,22,40,154,308,660,APPROVED
40,608203,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/4,2.25,22,40,154,308,660,APPROVED
55,653241,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 2,2.25,22,40,154,308,660,MARKETED
69,706515,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,ACET 2,2.25,22,40,154,308,660,CANCELLED POST MARKET
73,779458,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE TAB 15MG,2.25,22,40,154,308,660,CANCELLED POST MARKET
120,2009889,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,CODEINE 15,2.25,22,40,154,308,660,MARKETED
151,2163934,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 2 - TAB,2.25,22,40,154,308,660,MARKETED
172,2234510,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,282 TABLETS,2.25,22,40,154,308,660,DORMANT
184,2242406,Keep,CODEINE PHOSPHATE 15 MG,CAPSULE,ORAL,TRIANAL C?,2.25,22,40,154,308,660,MARKETED
187,2243978,Keep,CODEINE PHOSPHATE 15 MG,TABLET,ORAL,PMS-CODEINE,2.25,22,40,154,308,660,CANCELLED POST MARKET
98,1934783,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,ROBAXISAL C 1/4,2.43,21,37,147,294,630,MARKETED
105,1966367,NA,CODEINE PHOSPHATE 16.2 MG,TABLET,ORAL,METHOXISAL-C 1/4,2.43,21,37,147,294,630,CANCELLED POST MARKET
2,50024,NA,CODEINE PHOSPHATE 25 MG,SYRUP,ORAL,CODEINE PHOSPHATE SYRUP,0.96,52,94,364,728,1560,MARKETED
10,176206,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,FIORINAL-C 1/2,4.5,11,20,77,154,330,MARKETED
17,293512,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ATASOL 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
20,406104,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CORYPHEN 650 CODEINE 30 TAB,4.5,11,20,77,154,330,CANCELLED POST MARKET
29,593451,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-CODEINE,4.5,11,20,77,154,330,MARKETED
39,608181,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TEVA-TECNAL C 1/2,4.5,11,20,77,154,330,APPROVED
41,608882,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-EMTEC-30,4.5,11,20,77,154,330,MARKETED
56,653276,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 3,4.5,11,20,77,154,330,APPROVED
76,789828,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TRIATEC-30,4.5,11,20,77,154,330,MARKETED
107,1971387,Keep,CODEINE PHOSPHATE 30 MG,CAPSULE,ORAL,TRIANAL C?,4.5,11,20,77,154,330,MARKETED
113,1999648,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,ACET CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
117,2009757,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,CODEINE 30,4.5,11,20,77,154,330,MARKETED
150,2163926,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 3 - TAB,4.5,11,20,77,154,330,MARKETED
169,2232389,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,EXDOL-30,4.5,11,20,77,154,330,CANCELLED POST MARKET
170,2232658,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PROCET-30,4.5,11,20,77,154,330,MARKETED
177,2238645,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,292 TABLETS,4.5,11,20,77,154,330,DORMANT
188,2243979,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PMS-CODEINE,4.5,11,20,77,154,330,CANCELLED POST MARKET
231,2254271,Keep,CODEINE PHOSPHATE 30 MG,TABLET,ORAL,PHL-ACET-CODEINE 30,4.5,11,20,77,154,330,CANCELLED POST MARKET
99,1934791,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,ROBAXISAL C 1/2,4.86,10,19,70,140,300,MARKETED
106,1966375,NA,CODEINE PHOSPHATE 32.4 MG,TABLET,ORAL,METHOXISAL-C 1/2,4.86,10,19,70,140,300,CANCELLED POST MARKET
23,477672,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ROUNOX CODEINE 60 TAB,9,6,10,42,84,180,CANCELLED POST MARKET
46,621463,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TEVA-LENOLTEC NO. 4,9,6,10,42,84,180,APPROVED
114,1999656,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,ACET CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
149,2163918,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,TYLENOL WITH CODEINE NO. 4,9,6,10,42,84,180,MARKETED
230,2254263,Keep,CODEINE PHOSPHATE 60 MG,TABLET,ORAL,PHL-ACET-CODEINE 60,9,6,10,42,84,180,CANCELLED POST MARKET
85,1909304,NA,CODEINE PHOSPHATE 64.8 MG,CAPSULE,ORAL,PHENAPHEN NO 4 CAP,9.72,5,9,35,70,150,CANCELLED POST MARKET
250,2298708,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,ACETAMINOPHEN ELIXIR WITH 8MG CODEINE PHOSPHATE SYRUP,0.32,156,281,1092,2184,4680,APPROVED
3,95494,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE",1.2,42,75,294,588,1260,DORMANT
5,108162,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,222 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
11,180041,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C 8MG TAB,1.2,42,75,294,588,1260,MARKETED
15,293490,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ATASOL 8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
34,599131,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN COMPOUND TABLETS WITH CODEINE 8MG,1.2,42,75,294,588,1260,CANCELLED POST MARKET
44,615528,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,NOVO-GESIC-C8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
45,617059,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG COMPOUND TABLETS WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
54,653233,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,RATIO-LENOLTEC NO 1,1.2,42,75,294,588,1260,MARKETED
58,688851,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,AC&C TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
68,706221,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 325 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
70,708712,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 500 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
78,834319,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAZONE FORTE C8,1.2,42,75,294,588,1260,MARKETED
79,852163,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8,1.2,42,75,294,588,1260,MARKETED
95,1922246,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C.& C TABLETS,1.2,42,75,294,588,1260,DORMANT
96,1934767,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXACET-8,1.2,42,75,294,588,1260,MARKETED
97,1934775,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ROBAXISAL C-1/8 TABLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
104,1941895,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXISAL-C 1/8,1.2,42,75,294,588,1260,DORMANT
108,1977881,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TRIATEC-8 FORT,1.2,42,75,294,588,1260,DORMANT
134,2025337,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
135,2028174,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,MARKETED
136,2047667,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MERSYNDOL WITH CODEINE,1.2,42,75,294,588,1260,MARKETED
144,2143933,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN WITH CODEINE - CAPLET,1.2,42,75,294,588,1260,MARKETED
145,2154234,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE,1.2,42,75,294,588,1260,MARKETED
155,2181061,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
156,2181088,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,TYLENOL NO.1 FORTE CAPLETS,1.2,42,75,294,588,1260,CANCELLED POST MARKET
173,2236871,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"(EXTRA STRENGTH) ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE CAPLETS",1.2,42,75,294,588,1260,CANCELLED POST MARKET
174,2236872,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,METHOXACET-C 1/8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
175,2237578,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-8,1.2,42,75,294,588,1260,MARKETED
176,2237580,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,SPASMHALT-ASA-8,1.2,42,75,294,588,1260,CANCELLED POST MARKET
178,2238670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,C-2 BUFFERED WITH CODEINE,1.2,42,75,294,588,1260,CANCELLED POST MARKET
183,2242180,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE & BACK PAIN RELIEF - 8,1.2,42,75,294,588,1260,MARKETED
198,2245670,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,A.C. & C. 8 MG,1.2,42,75,294,588,1260,APPROVED
203,2246085,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
204,2246103,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETYLSALICYLIC ACID, CAFFEINE & 8 MG CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
215,2248817,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE AND 8 MG OF CODEINE PHOSPHATE TABLETS",1.2,42,75,294,588,1260,DORMANT
216,2248977,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF-8,1.2,42,75,294,588,1260,DORMANT
223,2250551,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,MUSCLE AND BACK PAIN RELIEF - 8 TABLETS,1.2,42,75,294,588,1260,DORMANT
224,2250683,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ASA-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
232,2254700,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,ACETAMINOPHEN-CAFFEINE-CODEINE,1.2,42,75,294,588,1260,APPROVED
237,2265052,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,APO-ACETACO #1,1.2,42,75,294,588,1260,APPROVED
238,2277816,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,"ACETAMINOPHEN 300MG, CAFFEINE & CODEINE",1.2,42,75,294,588,1260,APPROVED
423,2453703,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,WAMPOLE-ACETAMINOPHEN/CODEINE/CAFFEINE,1.2,42,75,294,588,1260,MARKETED
77,816027,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,PMS-ACETAMINOPHEN WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,MARKETED
152,2163942,NA,CODEINE PHOSPHATE 8 MG,ELIXIR,ORAL,TYLENOL WITH CODEINE ELIXIR,1.6,208,375,1456,2912,6240,CANCELLED POST MARKET
1,10081,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,642 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
4,108146,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TAB,19.5,3,5,21,42,90,CANCELLED POST MARKET
8,151351,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,CAPSULE,ORAL,NOVO-PROPOXYN CAP 65MG,19.5,3,5,21,42,90,CANCELLED POST MARKET
171,2234509,NA,DEXTROPROPOXYPHENE HYDROCHLORIDE 65 MG,TABLET,ORAL,692 TABLET,19.5,3,5,21,42,90,CANCELLED POST MARKET
13,261432,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON-N,19.5,3,5,21,42,90,CANCELLED POST MARKET
14,261459,NA,DEXTROPROPOXYPHENE NAPSYLATE 100 MG,CAPSULE,ORAL,DARVON N COMPOUND PULVULE 405,19.5,3,5,21,42,90,CANCELLED POST MARKET
66,705438,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,DILAUDID,5,10,18,70,140,300,MARKETED
83,885444,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-HYDROMORPHONE TAB 1MG,5,10,18,70,140,300,MARKETED
86,1916386,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,SYRUP,ORAL,PMS HYDROMORPHONE SIROP 1MG/ML,5,2,4,14,28,60,MARKETED
160,2192101,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,HYDROMORPHONE,5,10,18,70,140,300,CANCELLED POST MARKET
274,2319403,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,TEVA-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
340,2364115,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,APO-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
143,2138018,NA,MEPERIDINE HYDROCHLORIDE 50 MG,TABLET,ORAL,DEMEROL,5,10,18,70,140,300,MARKETED
205,2247374,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
206,2247693,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
207,2247694,NA,METHADONE HYDROCHLORIDE 1 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
211,2247698,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
371,2388383,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
181,2241377,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
189,2244290,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
209,2247696,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
213,2247700,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
373,2388405,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
383,2394596,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
384,2394618,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
452,2481979,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADONE HYDROCHLORIDE ORAL CONCENTRATE USP,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
210,2247697,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
214,2247701,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
374,2388413,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
208,2247695,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL-D,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
212,2247699,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,METADOL,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
372,2388391,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
24,486582,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,M.O.S. SYRUP 1.0 MG/ML,1,50,90,350,700,1500,CANCELLED POST MARKET
35,607762,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,RATIO-MORPHINE,1,50,90,350,700,1500,CANCELLED POST MARKET
42,614491,Keep,MORPHINE HYDROCHLORIDE 1 MG,SYRUP,ORAL,DOLORAL 1,1,50,90,350,700,1500,MARKETED
51,632503,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,M.O.S. 10 SYRUP 10MG/ML,10,5,9,35,70,150,CANCELLED POST MARKET
59,690198,Keep,MORPHINE HYDROCHLORIDE 10 MG,TABLET,ORAL,M.O.S. 10 TABLETS 10MG,10,5,9,35,70,150,CANCELLED POST MARKET
64,690783,NA,MORPHINE HYDROCHLORIDE 10 MG,SYRUP,ORAL,RATIO-MORPHINE,10,5,9,35,70,150,CANCELLED POST MARKET
50,632481,NA,MORPHINE HYDROCHLORIDE 20 MG,SYRUP,ORAL,M.O.S. 20 CONCENTRATE 20MG/ML,20,2,4,14,28,60,CANCELLED POST MARKET
60,690201,NA,MORPHINE HYDROCHLORIDE 20 MG,TABLET,ORAL,M.O.S.-20 TAB 20MG,20,2,4,14,28,60,CANCELLED POST MARKET
